soru,cevap,veri türü,kaynak,context,Score
"Türkiye Büyük Millet Meclisi Genel Kurulu, bir ilçenin başka bir ile bağlanmasına ilişkin kanun teklifini görüşmek üzere 175 milletvekiliyle toplanır. Toplantıya katılan milletvekillerinin tamamı Kanun’un kabul edilmesi yönünde oy kullanır. 1982 Anayasası’na göre olayla ilgili aşağıdaki ifadelerden hangisi doğrudur?",Karar yeter sayısı sağlanmış olsa da toplantı yeter sayısı sağlanamamış olduğundan Kanun Anayasa’ya aykırıdır.,hukuk,1982 Anayasası,HMGS 2025 1. Sınav,8
Bakan B hakkında meclis soruşturması açılır ve kendisi hakkında Yüce Divan’a sevk kararı alınır. 1982 Anayasası’na göre olayla ilgili aşağıdaki ifadelerden hangisi yanlıştır?,Yüce Divan’a sevk kararı üzerine B’nin bakanlık görevi sona ermiştir.,hukuk,1982 Anayasası,HMGS 2025 1. Sınav,8
Genel seçimlere 16 ay kala bir ilin Türkiye Büyük Millet Meclisinde kalan son üyesi vefat eder. 1982 Anayasası’na göre milletvekilinin vefatı üzerine kural olarak üyelikten boşalmayı takip eden kaç günden sonraki ilk pazar günü ara seçim yapılmalıdır?,90,hukuk,1982 Anayasası,HMGS 2025 1. Sınav,8
Millî Güvenlik Kurulunun gündemi düzenlenirken aşağıdakilerden hangisinin önerilerinin dikkate alınacağı 1982 Anayasası’nda açıkça düzenlenmiştir?,Cumhurbaşkanı yardımcısı,hukuk,1982 Anayasası,HMGS 2025 1. Sınav,8
"Ankara idare mahkemesi, önüne gelen bir iptal davasında uygulanacak bir kanun hükmünün Anayasa’ya aykırı olduğu iddiasını ciddi bularak Anayasa Mahkemesi’ne başvuruda bulunur ve bu başvurunun üzerinden 4 ay geçer. Anayasa Mahkemesi ise henüz bu konuda bir karar vermemiştir. 1982 Anayasası’na göre Ankara idare mahkemesinin bu aşamadan sonra yapması gereken işlem aşağıdakilerden hangisidir?",Davayı 1 ay süreyle daha geriye bıraktıktan sonra Anayasa Mahkemesi hâlâ karar vermemişse yürürlükteki mevcut düzenlemeye göre karar verir.,hukuk,1982 Anayasası,HMGS 2025 1. Sınav,8
1982 Anayasası’na göre mahallî idarelerin hesap ve işlemlerinin denetimi ve kesin hükme bağlanması aşağıdakilerin hangisi tarafından yapılır?,Sayıştay,hukuk,1982 Anayasası,HMGS 2025 1. Sınav,8
"Serbest avukat olan Betül, Anayasa Mahkemesi üyesi olmak ister ve adaylık başvurusunda bulunur. 1982 Anayasası’na göre üyelik için diğer şartları sağlayan Betül, aşağıdaki hangi süreçten geçerek Anayasa Mahkemesi üyesi olabilir?",Baro başkanlarının yapacağı seçimde en çok oy alan ilk 3 aday arasına girdikten sonra TBMM Genel Kurulu tarafından seçilerek,hukuk,1982 Anayasası,HMGS 2025 1. Sınav,8
6216 sayılı Anayasa Mahkemesinin Kuruluşu ve Yargılama Usulleri Hakkında Kanun’a göre Anayasa Mahkemesine yapılan bireysel başvuru neticesinde Mahkemenin esas hakkındaki incelemesiyle ilgili aşağıdaki ifadelerden hangisi doğrudur?,Yeniden yargılama yapılmasında hukuki yarar bulunmayan hâllerde başvurucu lehine tazminata hükmedilebilir.,hukuk,6216 sayılı Anayasa Mahkemesinin Kuruluşu ve Yargılama Usulleri Hakkında Kanun,HMGS 2025 1. Sınav,8
"6216 sayılı Anayasa Mahkemesinin Kuruluşu ve Yargılama Usulleri Hakkında Kanun’a göre kanunların esas yönünden Anayasa’ya aykırılığı iddiasıyla doğrudan doğruya iptal davası açma hakkı, Resmî Gazete’de yayımlanmasından başlayarak kural olarak kaç gün sonra düşer?",60,hukuk,6216 sayılı Anayasa Mahkemesinin Kuruluşu ve Yargılama Usulleri Hakkında Kanun,HMGS 2025 1. Sınav,8
"“… kamu düzenini ve idarede bütünlüğü sağlamak için kamu yararı amacıyla kanunların verdiği yetkiye dayanarak merkezî idarenin, yerel yönetimin organları ve bunların bazı işlemleri ile harcamaları üzerinde kamu hizmetinin gereklerine uygun olarak kullanılan bir denetim şeklidir. Merkezi idareye verilen bu yetki ile kamu düzeni bakımından ülkede genelliği ve bütünlüğü sağlama amacı güdülmüştür.” Bir Danıştay kararından alınan bu ifadede aşağıdaki kavramlardan hangisi vurgulanmaktadır?",İdari vesayet,hukuk,2577 sayılı İdari Yargılama Usulü Kanunu,HMGS 2025 1. Sınav,8
